 "topic_label" , "lecture" , "lab" , "fromoutline" , "fromlecture" , "fromlab" , "uri" ,
 "CONCORDIA_UNIVERSITY" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Concordia_University" ,
 "Personalization" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Personalization" ,
 "Information_Retrieval_(IR)" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Information_retrieval" ,
 "object-oriented_language" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Object-oriented_programming" ,
 "Natural_Language_Processing_(NLP)" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Natural-language_processing" ,
 "VPN" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Virtual_private_network" ,
 "VPN" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Virtual_private_network" ,
 "Deep_Learning" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Deep_learning" ,
 "Zoom" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Reverse-Flash" ,
 "ISO" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/International_Organization_for_Standardization" ,
 "Kyle" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Kyle_Broflovski" ,
 "Kyle" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Kyle_Broflovski" ,
 "Hummel" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Johann_Nepomuk_Hummel" ,
 "Hummel" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Johann_Nepomuk_Hummel" ,
 "Artificial_Intelligence" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Artificial_intelligence" ,
 "Concordia University" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Concordia_University" ,
