 "course" , "lecture" , "lab" , "fromoutline" , "fromlecture" , "fromlab" ,
 "http://example.org/schema#/COMP6741" , "http://example.org/schema#/COMP6741-l2" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/2.Knowledge_Graphs/slides02.pdf" ,  ,
 "http://example.org/schema#/COMP6741" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  ,
